"Model","GPRS","2G bands","Speed","3G bands","EDGE","Technology","Status","SIM","4G bands","Announced","Dimensions","Weight","Resolution","Multitouch","Type","Size","Chipset","OS","CPU","GPU","Internal","Card slot","Secondary","Video","Primary","Features","Loudspeaker","3.5mm jack","Alert types","WLAN","USB","Infrared port","Bluetooth","Radio","GPS","Messaging","Sensors","Java","Browser","Talk time","Stand-by","Music play","Price group","Colors","Battery life","Camera","Audio quality","Performance","Display","Phonebook","Call records","Games","SAR EU","SAR US","Protection","Keyboard","NFC","Build","Alarm","Clock","Languages","subcategory","InternalStorage","Ram","CameraVideoFps","CameraVideoResolution","Width","Thickness","Height","Weight_grams","Weight_oz","SecondaryCameraPixel","CardSlotCapacity","ResolutionHeight","ResolutionWidth","ResolutionPpi","PrimaryCameraPixel","ScreenSize","ScreenBodyRatio"
"Allegro","HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900","HSDPA 900 / 2100","Yes","GSM / HSPA","Available. Released 2011, November","Mini-SIM","","2011, October","116 x 59 x 13 mm (4.57 x 2.32 x 0.51 in)","126 g (4.44 oz)","480 x 800 pixels (~259 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","3.6 inches (~53.9% screen-to-body ratio)","Qualcomm MSM8255 Snapdragon S2","Microsoft Windows Phone 7.5 Mango","1.0 GHz Scorpion","Adreno 205","8 GB","No","No","Yes","5 MP, autofocus","Geo-tagging","Yes","Yes","Vibration, MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, DLNA","microUSB 2.0","","2.1, A2DP, EDR","No","Yes, with A-GPS","SMS (threaded view), MMS, Email, Push Email","Accelerometer, proximity, compass","Yes","HTML5","Removable Li-Ion 1300 mAh battery","","","<a href=""#"">3/10</a>","Black, White","","","","","","","","","","","","","","","","","","Acer","","","","","116","13","59","126","4.44","","","480","800","259","5","3.6","53.9"
"beTouch E100","HSPA 7.2/5.76 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 900 / 1900 / 2100","HSDPA 850 / 1900 / 2100","Class 10","GSM / HSPA","Discontinued","Mini-SIM","","2009, October. Released 2009, October","113 x 56 x 12.8 mm (4.45 x 2.20 x 0.50 in)","118 g (4.16 oz)","240 x 400 pixels (~146 ppi pixel density)","","TFT resistive touchscreen, 65K colors","3.2 inches (~46.1% screen-to-body ratio)","Qualcomm MSM7225 Snapdragon S1","Microsoft Windows Mobile 6.5 Professional","528 MHz ARM 11","","256 MB RAM, 512 MB ROM","microSD (dedicated slot)","","320p","2 MP","","Yes","No","Vibration; Downloadable polyphonic, MP3, WAV ringtones","No","miniUSB","","2.0, A2DP","No","Yes, with A-GPS","SMS (threaded view), MMS, Email, Instant Messaging","","Yes, MIDP 2.0","HTML","Up to 400 h","Removable Li-Ion 1140 mAh battery","","<a href=""#"">4/10</a>","Black","","","","","","","","","","0.69 W/kg (head)     0.80 W/kg (body)    ","","","","","","","","Acer","","","","","113","12.8","56","118","4.16","","","240","400","146","2","3.2","46.1"
"beTouch E101","Class 10","GSM 850 / 900 / 1800 / 1900","","","Class 10","GSM","Discontinued","Mini-SIM","","2009, October. Released 2009, October","113 x 56 x 12.8 mm (4.45 x 2.20 x 0.50 in)","118 g (4.16 oz)","240 x 400 pixels (~146 ppi pixel density)","","TFT resistive touchscreen, 65K colors","3.2 inches (~46.1% screen-to-body ratio)","Qualcomm MSM7225 Snapdragon S1","Microsoft Windows Mobile 6.5 Professional","528 MHz ARM 11","","256 MB RAM, 512 MB ROM","microSD (dedicated slot)","","Yes","2 MP","","Yes","No","Vibration; Downloadable polyphonic, MP3, WAV ringtones","No","miniUSB","","2.0, A2DP","No","Yes, with A-GPS","SMS (threaded view), MMS, Email, Instant Messaging","","Yes, MIDP 2.0","HTML","Up to 400 h","Removable Li-Ion 1140 mAh battery","","<a href=""#"">4/10</a>","Black","","","","","","","","","","0.34 W/kg (head)     0.79 W/kg (body)    ","","","","","","","","Acer","","","","","113","12.8","56","118","4.16","","","240","400","146","2","3.2","46.1"
"beTouch E110","HSPA 3.6/0.384 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900","HSDPA 900 / 2100","Class 10","GSM / HSPA","Discontinued","Mini-SIM","","2010, February. Released 2010, March","103.5 x 54 x 13.4 mm (4.07 x 2.13 x 0.53 in)","105 g (3.70 oz)","240 x 320 pixels (~143 ppi pixel density)","","TFT resistive touchscreen, 256K colors (65K effective)","2.8 inches (~43.4% screen-to-body ratio)","","Android 1.5 (Cupcake)","ST Ericsson PNX6715 416MHz","","256 MB RAM, 256 MB","microSD (dedicated slot)","No","Yes","3.15 MP","","Yes","Yes","Vibration; MP3, WAV ringtones","No","2.0","","2.0, A2DP","Stereo FM radio","Yes, with A-GPS","SMS (threaded view), MMS, Email, IM","","Yes, via Java MIDP emulator","HTML","","","","<a href=""#"">2/10</a>","Black, Dark Blue","","","","","","","","","","","","","","","","","","Acer","","","","","103.5","13.4","54","105","3.70","","","240","320","143","3","2.8","43.4"
"beTouch E120","HSPA 3.6/0.384 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900","HSDPA 900 / 2100","Class 10","GSM / HSPA","Discontinued","Mini-SIM","","2010, June. Released 2010, Q3","104.5 x 54 x 13.2 mm (4.11 x 2.13 x 0.52 in)","105 g (3.70 oz)","240 x 320 pixels (~143 ppi pixel density)","","TFT capacitive touchscreen","2.8 inches (~43.0% screen-to-body ratio)","","Android 1.6 (Donut)","ST Ericsson PNX6715, 416 MHz","","256 MB RAM, 512 MB","microSD, up to 32 GB (dedicated slot)","No","Yes","3.15 MP","","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g","microUSB 2.0","","2.0, A2DP","Stereo FM radio, RDS","Yes, with A-GPS","SMS (threaded view), MMS, Email, IM","Accelerometer, compass","Yes, via Java MIDP emulator","HTML","Up to 600 h","Removable Li-Ion 1500 mAh battery","","<a href=""#"">2/10</a>","Black, White","","","","","","","","","","","","","","","","","","Acer","","","","","104.5","13.2","54","105","3.70","","32","240","320","143","3","2.8","43.0"
"beTouch E130","HSPA 3.6/0.384 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900","HSDPA 900 / 2100","Class 10","GSM / HSPA","Discontinued","Mini-SIM","","2010, June. Released 2010, August","115 x 62.5 x 11.5 mm (4.53 x 2.46 x 0.45 in)","109 g (3.84 oz)","320 x 240 pixels (~154 ppi pixel density)","","TFT touchscreen, 65K colors","2.6 inches (~29.1% screen-to-body ratio)","ST Ericsson PNX6715","Android 1.6 (Donut)","416 MHz","","256 MB RAM, 512 MB","microSD, up to 32 GB (dedicated slot)","No","Yes","3.15 MP","","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g","microUSB 2.0","","2.0, A2DP","Stereo FM radio, RDS","Yes, with A-GPS","SMS (threaded view), MMS, Email, IM","Accelerometer, compass","Yes, via Java MIDP emulator","HTML","Up to 600 h","Removable Li-Ion 1500 mAh battery","","<a href=""#"">2/10</a>","Black, White","","","","","","","","","","","","QWERTY","","","","","","Acer","","","","","115","11.5","62.5","109","3.84","","32","320","240","154","3","2.6","29.1"
"beTouch E140","Yes","GSM 850 / 900 / 1800 / 1900","HSPA 7.2/2 Mbps","HSDPA 900 / 2100","Yes","GSM / HSPA","Discontinued","Mini-SIM","","2010, December. Released 2010, December","104.5 x 55.8 x 12.8 mm (4.11 x 2.20 x 0.50 in)","95 g (3.35 oz)","240 x 320 pixels (~143 ppi pixel density)","","TFT resistive touchscreen, 256K colors","2.8 inches (~41.6% screen-to-body ratio)","Qualcomm MSM7227 Snapdragon S1","Android 2.2 (Froyo)","600 MHz ARM 11","Adreno 200","256 MB RAM, 512 MB","microSD, up to 32 GB (dedicated slot)","No","Yes","3.15 MP","","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g, hotspot","microUSB 2.0","","2.1, A2DP, EDR","Stereo FM radio, RDS","Yes, with A-GPS","SMS (threaded view), MMS, Email, Push Email, IM","Accelerometer, compass","Yes, via Java MIDP emulator","HTML","Up to 400 h (2G) / Up to 500 h (3G)","Removable Li-Ion 1300 mAh battery","","<a href=""#"">3/10</a>","Black","","","","","","","","","","","","","","","","","","Acer","","","","","104.5","12.8","55.8","95","3.35","","32","240","320","143","3","2.8","41.6"
"beTouch E200","Class 10","GSM 850 / 900 / 1800 / 1900","HSPA 3.6/0.384 Mbps","HSDPA 900 / 2100","Class 10","GSM / HSPA","Discontinued","Mini-SIM","","2009, October. Released 2009, October","110 x 53.5 x 15.4 mm (4.33 x 2.11 x 0.61 in)","146 g (5.15 oz)","240 x 400 pixels (~155 ppi pixel density)","","TFT, 65K colors","3.0 inches (~43.5% screen-to-body ratio)","Qualcomm MSM7225 Snapdragon S1","Microsoft Windows Mobile 6.5 Professional","528 MHz ARM 11","","256 MB RAM, 512 MB ROM","microSD (dedicated slot)","","Yes","3.15 MP","","Yes","No","Vibration; Downloadable polyphonic, MP3, WAV ringtones","No","miniUSB","","2.0, A2DP","No","Yes, with A-GPS","SMS (threaded view), MMS, Email, Instant Messaging","","Yes, MIDP 2.0","HTML","Up to 400 h","Removable Li-Ion 1140 mAh battery","","<a href=""#"">4/10</a>","Black, White","","","","","","","","","","","","","","","","","","Acer","","","","","110","15.4","53.5","146","5.15","","","240","400","155","3","3.0","43.5"
"beTouch E210","HSPA 7.2/2 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900","HSDPA 900 / 2100","Yes","GSM / HSPA","Available. Released 2011, Q2","Mini-SIM","","2011, January","116 x 63 x 12 mm (4.57 x 2.48 x 0.47 in)","109 g (3.84 oz)","320 x 240 pixels (~154 ppi pixel density)","","TFT resistive touchscreen, 256K colors","2.6 inches (~28.6% screen-to-body ratio)","Qualcomm MSM7227 Snapdragon S1","Android 2.2 (Froyo)","600 MHz ARM 11","Adreno 200","256 MB RAM, 512 MB","microSD, up to 32 GB (dedicated slot)","No","Yes","3.15 MP","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g, hotspot","microUSB 2.0","","2.1, A2DP, EDR","Stereo FM radio","Yes, with A-GPS","SMS (threaded view), MMS, Email, IM","Accelerometer, compass","Yes, via Java MIDP emulator","HTML","","","","<a href=""#"">3/10</a>","Black, White","","","","","","","","","0.92 W/kg (head)    ","0.92 W/kg (head)     0.88 W/kg (body)    ","","QWERTY","","","","","","Acer","","","","","116","12","63","109","3.84","","32","320","240","154","3","2.6","28.6"
"beTouch E400","HSPA 3.6/0.384 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 900 / 2100","HSDPA 900 / 2100","Class 10","GSM / HSPA","Discontinued","Mini-SIM","","2010, February. Released 2010, April","115 x 59.3 x 12 mm (4.53 x 2.33 x 0.47 in)","125 g (4.41 oz)","320 x 480 pixels (~180 ppi pixel density)","","TFT resistive touchscreen, 256K colors","3.2 inches (~44.7% screen-to-body ratio)","Qualcomm MSM7227 Snapdragon S1","Android 2.1 (Eclair)","600 MHz ARM 11","Adreno 200","256 MB RAM, 512 MB","microSD (dedicated slot)","No","Yes","3.15 MP, autofocus","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g","2.0","","2.0, A2DP","Stereo FM radio","Yes, with A-GPS","SMS (threaded view), MMS, Email, IM","Accelerometer, compass","Yes, via Java MIDP emulator","HTML","Up to 400 h","Removable Li-Po 1090 mAh battery","","<a href=""#"">2/10</a>","Soft-touch Black, Ceramic White and Pearl Red with 3 exchangeable battery covers","","","","","","","","","","","","","","","","","","Acer","","","","","115","12","59.3","125","4.41","","","320","480","180","3","3.2","44.7"
"beTouch T500","TD-SCDMA","GSM 900 / 1800 / 1900","TD-SCDMA","","Class 10","GSM","Discontinued","Mini-SIM","","2010, October. Released 2010, Q4","118.5 x 58 x 13.5 mm (4.67 x 2.28 x 0.53 in)","130 g (4.59 oz)","320 x 480 pixels (~180 ppi pixel density)","","TFT touchscreen","3.2 inches (~44.4% screen-to-body ratio)","","Android-based OPhone 1.5","","","256 MB RAM, 512 MB","microSD, up to 32 GB (dedicated slot)","No","Yes","3.15 MP","","Yes","No","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g","microUSB 2.0","","2.1, A2DP","No","Yes, with A-GPS","SMS (threaded view), MMS, Email, IM","Accelerometer","Yes, via Java MIDP emulator","HTML","","","","<a href=""#"">2/10</a>","Black","","","","","","","","","","","","","","","","","","Acer","","","","","118.5","13.5","58","130","4.59","","32","320","480","180","3","3.2","44.4"
"DX650","Class 10","GSM 900 / 1800 / 1900","","","Class 10","GSM","Discontinued","Mini-SIM","","2009, June. Released 2009, June","109.6 x 59 x 15.6 mm (4.31 x 2.32 x 0.61 in)","133 g (4.69 oz)","240 x 320 pixels (~143 ppi pixel density)","","TFT resistive touchscreen, 65K colors","2.8 inches (~37.5% screen-to-body ratio)","","Microsoft Windows Mobile 6.1 Professional","Samsung S3C 6410 533 MHz","","","microSD (dedicated slot)","No","No","2 MP","","Yes","No","Vibration; Downloadable polyphonic, MP3, WAV ringtones","Wi-Fi 802.11 b/g","miniUSB","","2.0, A2DP","FM radio","Yes, SiRF Star III chipset","SMS (threaded view), MMS, Email, Instant Messaging","Accelerometer","Yes, MIDP 2.0","HTML","Up to 150 h","Removable Li-Ion 1260 mAh battery","","<a href=""#"">4/10</a>","Black","","","","","","","","","","","","","","","","","","Acer","","","","","109.6","15.6","59","133","4.69","","","240","320","143","2","2.8","37.5"
"DX900","HSPA 7.2/0.384 Mbps","GSM 850 / 900 / 1800 / 1900 - SIM 1","HSDPA 850 / 1900 / 2100 - SIM 1","GSM 900 / 1800 / 1900 - SIM 2","Class 10","GSM / HSPA","Discontinued","Dual SIM (Mini-SIM)","","2009, February. Released 2009, April","106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in)","147 g (5.19 oz)","480 x 640 pixels (~286 ppi pixel density)","","TFT resistive touchscreen, 65K colors","2.8 inches (~37.9% screen-to-body ratio)","","Microsoft Windows Mobile 6.1 Professional","533 MHz Samsung S3C 6410","","128 MB RAM, 256 MB ROM","microSD (dedicated slot)","VGA videocall camera","Yes","3.15 MP, autofocus, LED flash","","Yes","No","Vibration; Downloadable polyphonic, MP3, WAV ringtones","Wi-Fi 802.11 b/g","miniUSB","","2.0, A2DP","No","Yes, SiRF Star III chipset","SMS, MMS, Email, Instant Messaging","Accelerometer","","HTML","Up to 150 h","Removable Li-Po 1530 mAh battery","","<a href=""#"">2/10</a>","Black","","","","","","","","","","","","","","","","","","Acer","","","","","106","17","60.5","147","5.19","","","480","640","286","3","2.8","37.9"
"F900","Class 10","GSM 850 / 900 / 1800 / 1900","HSPA 7.2/2 Mbps","HSDPA 850 / 1900 / 2100","Class 10","GSM / HSPA","Discontinued","Mini-SIM","","2009, February. Released 2009, June","117.5 x 63.5 x 15.8 mm (4.63 x 2.5 x 0.62 in)","150 g (5.29 oz)","480 x 800 pixels (~246 ppi pixel density)","","TFT resistive touchscreen, 65K colors","3.8 inches (~55.1% screen-to-body ratio)","","Microsoft Windows Mobile 6.1 Professional","533 MHz Samsung S3C 6410","","128 MB RAM, 256 MB ROM","microSD (dedicated slot)","No","480p","3.15 MP, autofocus, LED flash","","Yes","No","Vibration, MP3, WAV ringtones","Wi-Fi 802.11 b/g","miniUSB 2.0","","2.0, A2DP","Stereo FM radio, RDS","Yes, SiRF Star III chipset","SMS (threaded view), MMS, Email, Push Email, IM","Accelerometer","Yes, MIDP 2.0","HTML","Up to 150 h","Removable Li-Ion 1530 mAh battery","","<a href=""#"">5/10</a>","Black","","","","","","","","","","0.59 W/kg (head)     0.82 W/kg (body)    ","","","","","","","","Acer","","","","","117.5","15.8","63.5","150","5.29","","","480","800","246","3","3.8","55.1"
"Iconia A1-830","No","N/A","","","No","No cellular connectivity","Available. Released 2014, March","No","","2014, January","203 x 138.4 x 8.2 mm (7.99 x 5.45 x 0.32 in)","380 g (13.40 oz)","768 x 1024 pixels (~162 ppi pixel density)","Yes","LED-backlit IPS LCD capacitive touchscreen, 16M colors","7.9 inches (~68.8% screen-to-body ratio)","Intel Atom Z2560","Android 4.2 (Jelly Bean)","Dual-core 1.6 GHz","PowerVR SGX544MP2","16 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","2 MP","1080p","5 MP, autofocus","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n","microUSB 2.0","","3.0","No","Yes","Email, Push Email, IM","Accelerometer","No","HTML5","Non-removable Li-Ion 4000 mAh battery","","","<a href=""#"">3/10</a>","White","","","","","","","","","","","","","","","","","","Acer","1","1","","","203","8.2","138.4","380","13.40","2","32","768","1024","162","5","7.9","68.8"
"Iconia B1-720","No","N/A","","","No","No cellular connectivity","Available. Released 2014, January","No","","2014, January","198.1 x 121.9 x 10.2 mm (7.80 x 4.80 x 0.40 in)","315 g (11.11 oz)","600 x 1024 pixels (~170 ppi pixel density)","Yes","TFT capacitive touchscreen","7.0 inches (~57.1% screen-to-body ratio)","Mediatek MT8111","Android 4.2 (Jelly Bean)","Dual-core 1.3 GHz","PowerVR SGX531","8/16 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","No","Yes","VGA","","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n","microUSB 2.0","","4.0, A2DP","No","Yes","Email, Push Email, IM","Accelerometer","No","HTML5","Non-removable Li-Po 2955 mAh battery","","","<a href=""#"">2/10</a>","Various","","","","","","","","","","","","","","","","","","Acer","8","1","","","198.1","10.2","121.9","315","11.11","","32","600","1024","170","","7.0","57.1"
"Iconia B1-721","Yes","GSM 850 / 900 / 1800 / 1900","HSPA","HSDPA","Yes","GSM / HSPA","Available. Released 2014, January","Yes","","2014, January","199 x 122.3 x 11.4 mm (7.83 x 4.81 x 0.45 in)","323 g (11.39 oz)","600 x 1024 pixels (~170 ppi pixel density)","Yes","TFT capacitive touchscreen","7.0 inches (~56.7% screen-to-body ratio)","Mediatek MT8312","Android 4.2 (Jelly Bean)","Dual-core 1.3 GHz Cortex-A7","Mali-400","16 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","No","Yes","VGA","","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n","microUSB 2.0","","Yes","No","Yes","Email, Push Email, IM","Accelerometer","No","HTML5","","","","<a href=""#"">3/10</a>","Black/Red","","","","","","","","","","","","","","","","","","Acer","1","1","","","199","11.4","122.3","323","11.39","","32","600","1024","170","","7.0","56.7"
"Iconia Smart","HSPA 14.4/5.76 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900 / 2100 - American version","HSDPA 900 / 1900 / 2100","Yes","GSM / HSPA","Available. Released 2011, August","Mini-SIM","","2011, February","141.7 x 64.5 x 13.6 mm (5.58 x 2.54 x 0.54 in)","185 g (6.53 oz)","480 x 1024 pixels (~236 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","4.8 inches (~62.5% screen-to-body ratio)","Qualcomm MSM8255-1 Snapdragon S2","Android 2.3 (Gingerbread)","1.0 GHz Scorpion","Adreno 205","8 GB, 512 MB RAM","microSD, up to 32 GB (dedicated slot)","2 MP","720p@30fps","8 MP, autofocus, LED flash","Geo-tagging, face/smile detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, UPnP, DLNA, hotspot","microUSB 2.0","","2.1, A2DP, EDR","Stereo FM radio, RDS","Yes, with A-GPS","SMS (threaded view), MMS, Email, Push Email","Accelerometer, gyro, proximity","Yes, via Java MIDP emulator","HTML, Adobe Flash","Up to 450 h (2G) / Up to 500 h (3G)","Removable Li-Po 1500 mAh battery","","<a href=""#"">5/10</a>","Silver","","","","","","","","","","","Corning Gorilla Glass","","","","","","","Acer","","","30","720","141.7","13.6","64.5","185","6.53","2","32","480","1024","236","8","4.8","62.5"
"Iconia Tab A100","No","N/A","","","No","No cellular connectivity","Available. Released 2011, April","No","","2011, February","195 x 117 x 13.1 mm (7.68 x 4.61 x 0.52 in)","450 g (0.99 lb)","600 x 1024 pixels (~170 ppi pixel density)","Yes","LCD capacitive touchscreen, 16M colors","7.0 inches (~60.4% screen-to-body ratio)","Nvidia Tegra 2 T20","Android 3.0, 3.2, planned upgrade to 4.0 (Ice Cream Sandwich)","Dual-core 1.0 GHz Cortex-A9","ULP GeForce","8/16 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","2 MP","720p@30fps","5 MP, autofocus, LED flash","Geo-tagging","Yes, with stereo speakers","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","2.1, A2DP, EDR","No","Yes","Email, Push Email, IM","Accelerometer, gyro, compass","Yes, via Java MIDP emulator","HTML, Adobe Flash","","","","<a href=""#"">2/10</a>","Black/Red, Black/Blue","","","","","","","","","","","","","","","","","","Acer","8","1","30","720","195","13.1","117","","","2","32","600","1024","170","5","7.0","60.4"
"Iconia Tab A101","Yes","GSM 850 / 900 / 1800 / 1900","HSPA 21.1/5.76 Mbps","HSDPA 850 / 900 / 1900 / 2100","Yes","GSM / HSPA","Discontinued","Mini-SIM","","2011, February. Released 2011, May","195 x 117 x 13.1 mm (7.68 x 4.61 x 0.52 in)","470 g (1.04 lb)","600 x 1024 pixels (~170 ppi pixel density)","Yes","LCD capacitive touchscreen, 16M colors","7.0 inches (~60.4% screen-to-body ratio)","Nvidia Tegra 2 T20","Android 3.2 (Honeycomb)","Dual-core 1.0 GHz Cortex-A9","ULP GeForce","8/16 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","2 MP","720p@30fps","5 MP, autofocus, LED flash","Geo-tagging","Yes, with stereo speakers","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","2.1, A2DP, EDR","No","Yes, with A-GPS","Email, Push Email, IM","Accelerometer, gyro, compass","Yes, via Java MIDP emulator","HTML, Adobe Flash","","","","<a href=""#"">6/10</a>","Black/Red, Black/Blue","","","","","","","","","","","","","","","","","","Acer","8","1","30","720","195","13.1","117","","","2","32","600","1024","170","5","7.0","60.4"
"Iconia Tab A110","No","N/A","","","No","No cellular connectivity","Available. Released 2012, October","No","","2012, October","193 x 126.5 x 11.4 mm (7.60 x 4.98 x 0.45 in)","390 g (13.76 oz)","600 x 1024 pixels (~170 ppi pixel density)","Yes, up to 10 fingers","TFT capacitive touchscreen, 256K colors","7.0 inches (~56.5% screen-to-body ratio)","Nvidia Tegra 3 T30L","Android 4.1 (Jelly Bean)","Quad-core 1.2 GHz","ULP GeForce","8 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","No","720p@30fps","2 MP","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n","microUSB 2.0","","3.0, A2DP","No","Yes, with A-GPS (3G model), GLONASS","Email, Push Email, IM","Accelerometer, gyro, compass","No","HTML5","Up to 270 h","Non-removable Li-Po 3420 mAh battery (12.7 Wh)","","<a href=""#"">3/10</a>","Black/Silver","","","","","","","","","","","","","","","","","","Acer","","","30","720","193","11.4","126.5","390","13.76","","32","600","1024","170","2","7.0","56.5"
"Iconia Tab A1-810","No","N/A","","","No","No cellular connectivity","Available. Released 2013, May","No","","2013, April","208.7 x 145.7 x 11.1 mm (8.22 x 5.74 x 0.44 in)","410 g (14.46 oz)","768 x 1024 pixels (~162 ppi pixel density)","Yes","LED-backlit IPS LCD capacitive touchscreen, 16M colors","7.9 inches (~63.6% screen-to-body ratio)","Mediatek MT8125","Android 4.2.2 (Jelly Bean), upgradаble to 4.4.2 (KitKat)","Quad-core 1.2 GHz","PowerVR SGX544","8/16 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","VGA","Yes","5 MP, autofocus","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n","microUSB 2.0","","4.0, A2DP","No","Yes","Email, Push Email, IM","Accelerometer, gyro","No","HTML5","Up to 350 h","Non-removable Li-Ion 4960 mAh battery (18.6 Wh)","","<a href=""#"">3/10</a>","Black","","","","","","","","","","","","","","","","","","Acer","8","1","","","208.7","11.1","145.7","410","14.46","","32","768","1024","162","5","7.9","63.6"
